username,comment_text,sentiment_score,sentiment_category
真**8,非常不错，和逾期一样。屏幕显示色彩饱和度相对小米11要差点。商家回复：您好，十分感谢您对小米的支持，您可以尝试如下方式对屏幕颜色进行调整，设置-显示与亮度-色彩风格（在勾选“生动”后），在色温盘内调节取点的位置，更改屏幕显示效果的偏好。后续使用中有任何需要帮助的，可以随时联系我们旺旺在线客服。更多,0.05458201542713448,消极
真**8,非常不错，和逾期一样。屏幕显示色彩饱和度相对小米11要差点。,0.7516098006884481,积极
暮**鱼,小屏旗舰的均衡之作，性价比之选    1. 极致手感与颜值   6.36英寸四等边直屏设计，屏占比高达94%，1.38mm超窄边框甚至优于iPhone 16 Pro，握持时轻盈舒适（仅191g），单手操作毫无压力。磨砂玻璃背板与中框设计大幅减少指纹残留，岩石灰配色低调高级，线下体验后直接“种草”。    2. 性能怪兽，游戏党的福音   骁龙8至尊版处理器+24GB LPDDR5X内存组合，安兔兔跑分超272万，实测《原神》高画质60分钟平均帧率59.8，机身温度仅43℃左右，搭配澎湃OS 2.0的系统优化，多任务切换丝滑流畅，彻底告别卡顿。超声波指纹解锁位置合理，识别速度和准确性大幅提升。    3. 徕卡影像，直出即大片   后置5000万像素徕卡三摄（主摄+长焦+超广角）表现惊艳，尤其是夜景模式高光压制和暗部细节远超同价位机型。5X光学变焦和长焦微距功能实用，拍摄演唱会远景或花**写轻松胜任。AI算法优化的人像模式虚化自然，发丝级抠图效果媲美专业相机。    4. 续航与快充双优   5400mAh电池+90W有线快充组合，重度使用一天剩余电量35%，38分钟即可充满。50W无线快充和磁吸配件拓展了充电场景，无线反充功能应急给耳机充电也很实用。    5. 价格真香，国补助力   叠加以旧换新和平台补贴后，12+256GB版本仅需3699元，比首发价直降800元，性价比直接拉满。对比OPPO Find X8s、vivo X200 Pro等同级竞品，配置更均衡，价格优势明显。,1.0,积极
灬**灬,非常好  算得上小屏旗舰  外围配置均衡  得益于新soc的能效提升  续航有明显提升  好用,0.9997099374902713,积极
r**缘,国补买的，加上满减等优惠，三千九百多，使用上暂时没什么，充电的时候发热不怎么明显，就是用久了或者升级系统后会不会拉胯卡顿发热，不要让人失望就好，打算用五六年,0.0007985996565295084,消极
海**1,商品评价:拿到手机的第一感受是机身手感特别棒，对于女生来说单手握非常友好。背面哑光磨砂质感不留指纹兼具美感和高级。紫色的太好看了吧！实体店里看过绿色也好漂亮。苹果老用户了，切换小米竟然没有适应期！！！这个是我很意外的，甚至有些小功能比苹果还要优秀。信号和电池也特别给力，是用苹果从来都没有拥有过的感受（我一整个爆哭），因为不喜欢曲面屏所以选择了小米15，总之，入手小米15的感受就是太棒了！！已被小米圈粉。唯一后悔的地方就是买的晚了没有赠品商家回复：您好，十分感谢您对小米产品的支持。咱们店铺也会不定时推出一些降价、赠品活动，回馈广大客户。但具体活动时间无法确定，还请您多多理解呢。后续您有任何疑问和需求可以联系咱们的旺旺在线客服详细咨询，将竭诚为您服务。更多,0.9999018924095976,积极
海**1,商品评价:拿到手机的第一感受是机身手感特别棒，对于女生来说单手握非常友好。背面哑光磨砂质感不留指纹兼具美感和高级。紫色的太好看了吧！实体店里看过绿色也好漂亮。苹果老用户了，切换小米竟然没有适应期！！！这个是我很意外的，甚至有些小功能比苹果还要优秀。信号和电池也特别给力，是用苹果从来都没有拥有过的感受（我一整个爆哭），因为不喜欢曲面屏所以选择了小米15，总之，入手小米15的感受就是太棒了！！已被小米圈粉。唯一后悔的地方就是买的晚了没有赠品,0.9999999401550217,积极
p**7,国补购买，性价比还可以。 给母亲买，续航优先。 拍照色彩不错，快充有点发烫。商家回复：您好，我们会继续努力，争取给您带来更好的体验。Xiaomi 15采用90W有线充电技术，充电速度快，充电时会伴随有一定的发热现象，属于正常情况。建议您充电时将手机暴露在空气中，减少衣物等织物的接触和包裹，保证良好的散热环境，可有效降低温度。产品使用中有任何需要帮助的，您可以随时联系咱们旺旺在线客服协助处理，我们将竭诚为您服务。更多,0.1769791878762098,消极
p**7,国补购买，性价比还可以。 给母亲买，续航优先。 拍照色彩不错，快充有点发烫。,0.9998553907268023,积极
t**4,很好啊很喜欢 这大小刚刚好商家回复：我们深知，唯有真诚服务，方能赢得您的满意和信任。,0.6451949351500789,积极
t**4,很好啊很喜欢 这大小刚刚好,0.9784254628193091,积极
风**2,第一次在官方旗舰店购买，享受国补加平台券很优惠。发货很快的，次日达，就是手机电池不耐用商家回复：您好，非常抱歉给您带来不便了，手机在长时间运行大型游戏、看超清视频时，多核会同时运行，手机功耗会增大，故耗电快属正常现象。您也可以在使用手机的时候查看一下后台是否运行了大量第三方软件，若同时运行过多软件容易增加电量功耗，可以定期清理手机后台应用程序，关闭不使用的功能；同时您也可以开启电池省电模式配合使用。后续我们也会不断针对系统续航以及其他方面进行优化。产品后期使用中如有疑问，您可以联系咱们旺旺在线客服详细咨询，竭诚为您服务。更多,0.9446146623522156,积极
风**2,第一次在官方旗舰店购买，享受国补加平台券很优惠。发货很快的，次日达，就是手机电池不耐用,0.8738808764988881,积极
